Time, Lateral Acceleration, Lateral Velocity, Yaw Rate, FyF, FyR, FzF, FzR, aSlipF, aSlipR
0.08, 3.8594, 0.0273, 0.1447, 1823.6753, 1457.1633, 4463.3230, 4725.8714, -0.6054, -0.6054
0.08, 3.8742, 0.0263, 0.1452, 1823.6644, 1469.7712, 4463.3230, 4725.8714, -0.6054, -0.6054
0.08, 3.8891, 0.0254, 0.1457, 1823.8002, 1482.2331, 4463.3230, 4725.8714, -0.6054, -0.6054
0.08, 3.9039, 0.0244, 0.1462, 1824.0772, 1494.5498, 4463.3230, 4725.8714, -0.6055, -0.6055
0.09, 3.9187, 0.0234, 0.1467, 1824.4898, 1506.7220, 4463.3230, 4725.8714, -0.6056, -0.6056
0.09, 3.9335, 0.0225, 0.1472, 1825.0328, 1518.7506, 4463.3230, 4725.8714, -0.6058, -0.6058
0.09, 3.9482, 0.0215, 0.1476, 1825.7011, 1530.6363, 4463.3230, 4725.8714, -0.6060, -0.6060
0.09, 3.9630, 0.0205, 0.1481, 1826.4897, 1542.3802, 4463.3230, 4725.8714, -0.6063, -0.6063
0.09, 3.9777, 0.0195, 0.1485, 1827.3937, 1553.9830, 4463.3230, 4725.8714, -0.6066, -0.6066
0.09, 3.9924, 0.0186, 0.1489, 1828.4084, 1565.4457, 4463.3230, 4725.8714, -0.6069, -0.6069
0.09, 4.0070, 0.0176, 0.1493, 1829.5292, 1576.7692, 4463.3230, 4725.8714, -0.6073, -0.6073
0.09, 4.0216, 0.0166, 0.1497, 1830.7518, 1587.9544, 4463.3230, 4725.8714, -0.6077, -0.6077
0.09, 4.0362, 0.0157, 0.1501, 1832.0717, 1599.0024, 4463.3230, 4725.8714, -0.6081, -0.6081
0.09, 4.0507, 0.0147, 0.1505, 1833.4849, 1609.9140, 4463.3230, 4725.8714, -0.6086, -0.6086
0.10, 4.0651, 0.0137, 0.1508, 1834.9872, 1620.6903, 4463.3230, 4725.8714, -0.6091, -0.6091
0.10, 4.0795, 0.0128, 0.1512, 1836.5748, 1631.3323, 4463.3230, 4725.8714, -0.6096, -0.6096
0.10, 4.0938, 0.0118, 0.1515, 1838.2437, 1641.8410, 4463.3230, 4725.8714, -0.6102, -0.6102
0.10, 4.1081, 0.0109, 0.1519, 1839.9902, 1652.2175, 4463.3230, 4725.8714, -0.6108, -0.6108
0.10, 4.1223, 0.0099, 0.1522, 1841.8109, 1662.4627, 4463.3230, 4725.8714, -0.6114, -0.6114
0.10, 4.1364, 0.0090, 0.1525, 1843.7021, 1672.5778, 4463.3230, 4725.8714, -0.6120, -0.6120
0.10, 4.1505, 0.0080, 0.1528, 1845.6605, 1682.5638, 4463.3230, 4725.8714, -0.6127, -0.6127
0.10, 4.1644, 0.0071, 0.1531, 1847.6828, 1692.4217, 4463.3230, 4725.8714, -0.6133, -0.6133
0.10, 4.1783, 0.0061, 0.1534, 1849.7659, 1702.1527, 4463.3230, 4725.8714, -0.6140, -0.6140
0.10, 4.1921, 0.0052, 0.1537, 1851.9065, 1711.7579, 4463.3230, 4725.8714, -0.6147, -0.6147
0.11, 4.2059, 0.0043, 0.1540, 1854.1018, 1721.2383, 4463.3230, 4725.8714, -0.6155, -0.6155
0.11, 4.2195, 0.0034, 0.1542, 1856.3488, 1730.5950, 4463.3230, 4725.8714, -0.6162, -0.6162
0.11, 4.2331, 0.0024, 0.1545, 1858.6447, 1739.8292, 4463.3230, 4725.8714, -0.6170, -0.6170
0.11, 4.2466, 0.0015, 0.1548, 1860.9869, 1748.9420, 4463.3230, 4725.8714, -0.6177, -0.6177
0.11, 4.2600, 0.0006, 0.1550, 1863.3725, 1757.9344, 4463.3230, 4725.8714, -0.6185, -0.6185
0.11, 4.2733, -0.0003, 0.1552, 1865.7992, 1766.8077, 4463.3230, 4725.8714, -0.6193, -0.6193
0.11, 4.2865, -0.0012, 0.1555, 1868.2644, 1775.5628, 4463.3230, 4725.8714, -0.6202, -0.6202
0.11, 4.2996, -0.0021, 0.1557, 1870.7658, 1784.2011, 4463.3230, 4725.8714, -0.6210, -0.6210
0.11, 4.3126, -0.0029, 0.1559, 1873.3009, 1792.7234, 4463.3230, 4725.8714, -0.6218, -0.6218
0.11, 4.3255, -0.0038, 0.1561, 1875.8676, 1801.1311, 4463.3230, 4725.8714, -0.6227, -0.6227
0.12, 4.3383, -0.0047, 0.1563, 1878.4637, 1809.4253, 4463.3230, 4725.8714, -0.6235, -0.6235
0.12, 4.3510, -0.0056, 0.1565, 1881.0871, 1817.6070, 4463.3230, 4725.8714, -0.6244, -0.6244
0.12, 4.3636, -0.0064, 0.1567, 1883.7358, 1825.6774, 4463.3230, 4725.8714, -0.6253, -0.6253
0.12, 4.3761, -0.0073, 0.1569, 1886.4078, 1833.6376, 4463.3230, 4725.8714, -0.6262, -0.6262
0.12, 4.3885, -0.0081, 0.1571, 1889.1011, 1841.4888, 4463.3230, 4725.8714, -0.6271, -0.6271
0.12, 4.4008, -0.0090, 0.1572, 1891.8140, 1849.2321, 4463.3230, 4725.8714, -0.6280, -0.6280
0.12, 4.4130, -0.0098, 0.1574, 1894.5448, 1856.8686, 4463.3230, 4725.8714, -0.6289, -0.6289
0.12, 4.4251, -0.0106, 0.1576, 1897.2915, 1864.3995, 4463.3230, 4725.8714, -0.6298, -0.6298
0.12, 4.4371, -0.0114, 0.1577, 1900.0528, 1871.8258, 4463.3230, 4725.8714, -0.6307, -0.6307
0.12, 4.4490, -0.0123, 0.1579, 1902.8268, 1879.1487, 4463.3230, 4725.8714, -0.6316, -0.6316
0.13, 4.4607, -0.0131, 0.1580, 1905.6121, 1886.3693, 4463.3230, 4725.8714, -0.6326, -0.6326
0.13, 4.4724, -0.0139, 0.1582, 1908.4072, 1893.4887, 4463.3230, 4725.8714, -0.6335, -0.6335
0.13, 4.4840, -0.0147, 0.1583, 1911.2107, 1900.5081, 4463.3230, 4725.8714, -0.6344, -0.6344
0.13, 4.4954, -0.0154, 0.1584, 1914.0212, 1907.4284, 4463.3230, 4725.8714, -0.6354, -0.6354
0.13, 4.5067, -0.0162, 0.1586, 1916.8373, 1914.2510, 4463.3230, 4725.8714, -0.6363, -0.6363
0.13, 4.5180, -0.0170, 0.1587, 1919.6577, 1920.9767, 4463.3230, 4725.8714, -0.6372, -0.6372
0.13, 4.5291, -0.0178, 0.1588, 1922.4813, 1927.6068, 4463.3230, 4725.8714, -0.6382, -0.6382
0.13, 4.5401, -0.0185, 0.1589, 1925.3067, 1934.1423, 4463.3230, 4725.8714, -0.6391, -0.6391
0.13, 4.5510, -0.0193, 0.1591, 1928.1330, 1940.5843, 4463.3230, 4725.8714, -0.6400, -0.6400
0.13, 4.5618, -0.0200, 0.1592, 1930.9589, 1946.9339, 4463.3230, 4725.8714, -0.6410, -0.6410
0.14, 4.5725, -0.0208, 0.1593, 1933.7834, 1953.1922, 4463.3230, 4725.8714, -0.6419, -0.6419
0.14, 4.5831, -0.0215, 0.1594, 1936.6055, 1959.3601, 4463.3230, 4725.8714, -0.6428, -0.6428
0.14, 4.5935, -0.0222, 0.1595, 1939.4242, 1965.4389, 4463.3230, 4725.8714, -0.6438, -0.6438
0.14, 4.6039, -0.0229, 0.1596, 1942.2385, 1971.4295, 4463.3230, 4725.8714, -0.6447, -0.6447
0.14, 4.6141, -0.0236, 0.1597, 1945.0475, 1977.3330, 4463.3230, 4725.8714, -0.6456, -0.6456
0.14, 4.6243, -0.0243, 0.1598, 1947.8505, 1983.1504, 4463.3230, 4725.8714, -0.6466, -0.6466
0.14, 4.6343, -0.0250, 0.1598, 1950.6464, 1988.8828, 4463.3230, 4725.8714, -0.6475, -0.6475
0.14, 4.6442, -0.0257, 0.1599, 1953.4346, 1994.5311, 4463.3230, 4725.8714, -0.6484, -0.6484
0.14, 4.6541, -0.0264, 0.1600, 1956.2143, 2000.0965, 4463.3230, 4725.8714, -0.6494, -0.6494
0.14, 4.6638, -0.0271, 0.1601, 1958.9846, 2005.5799, 4463.3230, 4725.8714, -0.6503, -0.6503
0.15, 4.6734, -0.0277, 0.1602, 1961.7450, 2010.9824, 4463.3230, 4725.8714, -0.6512, -0.6512
0.15, 4.6829, -0.0284, 0.1602, 1964.4947, 2016.3049, 4463.3230, 4725.8714, -0.6521, -0.6521
0.15, 4.6923, -0.0290, 0.1603, 1967.2331, 2021.5484, 4463.3230, 4725.8714, -0.6530, -0.6530
0.15, 4.7015, -0.0297, 0.1604, 1969.9596, 2026.7140, 4463.3230, 4725.8714, -0.6539, -0.6539
0.15, 4.7107, -0.0303, 0.1604, 1972.6736, 2031.8026, 4463.3230, 4725.8714, -0.6548, -0.6548
0.15, 4.7198, -0.0309, 0.1605, 1975.3746, 2036.8151, 4463.3230, 4725.8714, -0.6557, -0.6557
0.15, 4.7288, -0.0316, 0.1605, 1978.0619, 2041.7526, 4463.3230, 4725.8714, -0.6566, -0.6566
0.15, 4.7376, -0.0322, 0.1606, 1980.7351, 2046.6159, 4463.3230, 4725.8714, -0.6575, -0.6575
0.15, 4.7464, -0.0328, 0.1607, 1983.3937, 2051.4061, 4463.3230, 4725.8714, -0.6584, -0.6584
0.15, 4.7551, -0.0334, 0.1607, 1986.0372, 2056.1241, 4463.3230, 4725.8714, -0.6593, -0.6593
0.16, 4.7636, -0.0340, 0.1608, 1988.6652, 2060.7707, 4463.3230, 4725.8714, -0.6601, -0.6601
0.16, 4.7721, -0.0346, 0.1608, 1991.2773, 2065.3470, 4463.3230, 4725.8714, -0.6610, -0.6610
0.16, 4.7804, -0.0352, 0.1609, 1993.8732, 2069.8539, 4463.3230, 4725.8714, -0.6619, -0.6619
0.16, 4.7887, -0.0357, 0.1609, 1996.4523, 2074.2922, 4463.3230, 4725.8714, -0.6627, -0.6627
0.16, 4.7968, -0.0363, 0.1609, 1999.0144, 2078.6628, 4463.3230, 4725.8714, -0.6636, -0.6636
0.16, 4.8049, -0.0369, 0.1610, 2001.5591, 2082.9667, 4463.3230, 4725.8714, -0.6644, -0.6644
0.16, 4.8128, -0.0374, 0.1610, 2004.0861, 2087.2048, 4463.3230, 4725.8714, -0.6652, -0.6652
0.16, 4.8207, -0.0380, 0.1611, 2006.5952, 2091.3778, 4463.3230, 4725.8714, -0.6661, -0.6661
0.16, 4.8285, -0.0385, 0.1611, 2009.0860, 2095.4867, 4463.3230, 4725.8714, -0.6669, -0.6669
0.16, 4.8361, -0.0390, 0.1611, 2011.5583, 2099.5323, 4463.3230, 4725.8714, -0.6677, -0.6677
0.17, 4.8437, -0.0396, 0.1612, 2014.0118, 2103.5155, 4463.3230, 4725.8714, -0.6685, -0.6685
